Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,x,y
MAS,Masco Corp.,Industrials,28.91,1.37,28.23,1.02,-0.41,22.38,30.61,9.55,1.05,1.33,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAS,-4.894112556954298,20.90014549280094
MA,Mastercard Inc.,Information Technology,87.42,0.87,26.1,3.35,5.4,74.61,101.76,97.1,5.58,9.93,16.0,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MA,16.91727063433185,21.418901387295122
MAT,Mattel Inc.,Consumer Discretionary,33.14,4.69,30.69,1.08,7.75,19.45,34.36,11.26,0.6403,1.93,4.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAT,-27.49156577294579,-21.132414356947525
MKC,McCormick & Co.,Consumer Staples,94.1,1.88,30.26,3.11,13.12,71.01,94.17,11.96,0.7052999999999999,2.75,7.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MKC,-26.96397028914092,-6.912213996153859
MCD,McDonald's Corp.,Consumer Discretionary,118.37,3.03,24.69,4.8,9.05,87.5,124.83,108.69,8.91,4.23,12.93,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCD,-26.624443775338374,4.841209602133794
MHFI,McGraw Hill Financial,Financials,90.11,1.61,21.4,4.21,0.73,78.55,109.13,23.91,2.21,4.42,120.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MHFI,20.60533578965439,12.746385780862944
MCK,McKesson Corp.,Health Care,155.37,0.72,18.58,8.36,38.83,148.29,243.61,35.52,4.29,0.19,3.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCK,-19.323157792741657,-12.929721245623007
MJN,Mead Johnson,Consumer Staples,73.37,2.23,22.44,3.27,-3.39,65.53,105.45,13.68,1.09,3.33,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MJN,-15.84891167487396,-13.229373968758836
MDT,Medtronic plc,Health Care,77.66,1.98,44.38,1.75,37.17,55.54,79.5,109.2,7.71,4.16,2.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MDT,-17.624416679795967,6.051475592861864
MRK,Merck & Co.,Health Care,51.0,3.62,32.69,1.56,16.27,45.69,61.7,142.47,14.92,3.58,3.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MRK,-3.931629185098268,17.753895624819428
MET,MetLife Inc.,Financials,39.42,3.83,8.63,4.57,61.88,35.0,58.23,43.28,7.96,0.61,0.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MET,26.495381487311274,9.96959425946007
KORS,Michael Kors Holdings,Consumer Discretionary,56.47,,13.02,4.34,11.04,34.83,68.93,10.11,1.36,2.16,5.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KORS,-26.89570461055493,-20.713836831758183
MCHP,Microchip Technology,Information Technology,43.81,3.33,26.86,1.63,10.45,37.77,52.44,8.92,0.69614,4.12,4.18,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCHP,7.811165129512791,3.6893874320170377
MU,Micron Technology,Information Technology,10.72,0.0,5.83,1.84,11.89,9.31,31.5,11.12,4.91,0.74,0.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MU,8.694783214674668,-11.944135353267866
MSFT,Microsoft Corp.,Information Technology,52.1,2.74,36.87,1.41,9.69,39.72,56.85,412.07,30.46,4.61,5.3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSFT,8.105875417074722,24.24624677519341
MHK,Mohawk Industries,Consumer Discretionary,171.04,,,49.9,64.25,148.56,212.16,12.64,1.33,1.57,2.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MHK,11.96565880785704,17.313306140477458
TAP,Molson Coors Brewing Company,Consumer Staples,86.63,1.89,44.86,1.93,38.17,63.91,95.74,18.58,0.6382000000000001,5.18,2.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TAP,-14.982227101850311,14.995499561905369
MDLZ,Mondelez International,Consumer Staples,41.58,1.71,9.36,4.44,17.73,33.97,48.58,65.23,4.66,2.16,2.3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MDLZ,-7.834222022904093,24.074399882964077
MON,Monsanto Co.,Materials,89.84,2.41,23.37,3.85,8.08,81.22,123.82,39.56,4.36,2.72,10.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MON,11.836744858294999,-14.350732279578386
MNST,Monster Beverage,Consumer Staples,133.11,,46.2,2.88,22.96,113.08,160.5,26.98,0.9583200000000001,10.01,5.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MNST,-24.55844220823155,2.6432629056041232
MCO,Moody's Corp,Financials,88.64,1.68,19.14,4.63,-1.7,77.76,113.87,17.38,1.59,4.88,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCO,20.830748504108332,18.01493461298261
MS,Morgan Stanley,Financials,24.63,2.44,8.49,2.9,34.97,21.16,41.04,47.29,0.0,1.29,0.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MS,26.731354959109893,16.886956168086396
MSI,Motorola Solutions Inc.,Information Technology,74.06,2.46,29.61,2.5,-1.74,56.4,74.18,13.08,1.26,2.2,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSI,-15.39445089412482,-7.462369786546105
MUR,Murphy Oil,Energy,16.43,5.1,,-13.03,30.94,14.3,51.61,2.83,1.35,0.95,0.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MUR,6.240655809894411,-25.592068250787765
MYL,Mylan N.V.,Health Care,47.42,0.0,27.89,1.7,19.92,37.59,76.69,23.25,2.72,2.42,2.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MYL,-10.03690467768168,5.678790490289823
NDAQ,NASDAQ OMX Group,Financials,64.51,1.57,25.8,2.5,34.08,47.81,64.95,10.62,1.07,3.08,1.87,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDAQ,-22.238398215381427,-2.652707533026117
NOV,National Oilwell Varco Inc.,Energy,27.66,4.76,,-1.99,43.6,25.74,56.64,10.39,2.05,0.72,0.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NOV,4.621245830483738,-24.91946707004476
NAVI,Navient,Financials,10.66,6.18,4.08,2.61,11.39,8.2,22.0,3.72,0.0,1.49,0.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NAVI,8.876912166602414,-10.873964462705992
NTAP,NetApp,Information Technology,24.63,2.88,19.93,1.24,10.61,20.66,38.93,7.22,0.6025,1.28,2.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NTAP,5.9541678705953816,-10.757188745731671
NFLX,Netflix Inc.,Information Technology,94.53,,337.61,0.28,5.2,58.46,133.27,40.47,0.36811,5.78,17.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NFLX,-28.727630894957517,0.3891904507804791
NWL,Newell Rubbermaid Co.,Consumer Discretionary,37.87,1.99,29.27,1.29,6.8,33.26,50.9,10.15,1.01,1.7,5.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWL,-1.5688583805208989,6.30410530919122
NFX,Newfield Exploration Co,Energy,24.41,,,-15.39,12.56,20.84,41.34,3.95,1.67,2.24,1.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NFX,9.690627544597993,-26.043414220323953
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,25.85,0.4,60.68,0.43,21.43,15.39,27.9,13.68,2.83,1.75,1.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NEM,-26.418130612178608,-24.177175212922567
NWSA,News Corp. Class A,Consumer Discretionary,10.87,1.8,,-0.21,20.29,10.21,17.52,6.31,0.639,0.74,0.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWSA,19.94725874872326,4.784616134520907
NWS,News Corp. Class B,Consumer Discretionary,11.49,1.7,,-0.21,20.29,10.74,17.07,6.67,0.639,0.79,0.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWS,19.965744171744007,4.760966679072283
NEE,NextEra Energy,Utilities,115.84,3.01,19.12,6.06,48.86,93.74,116.98,53.52,7.86,3.06,2.37,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NEE,-36.70347133598479,-15.274458137756062
NLSN,Nielsen Holdings,Industrials,49.66,2.26,32.25,1.54,12.23,42.23,49.95,17.97,1.5,2.9,4.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NLSN,6.9349777206790195,26.32038788928984
