	id	name	party	state	x	y
0	A000062	AIKEN	Republican	VT	212.96028849499999	838.60177848600006
1	A000161	ALLOTT	Republican	CO	609.70636510300005	766.95198417899996
2	A000186	ANDERSON, C	Democrat	NM	-46.0075182629	-227.19739360200001
3	B000145	BARKLEY	Democrat	KY	-517.510060877	51.950315366700003
4	B000176	BARRETT	Republican	WY	611.31968321500005	-778.54359304899992
5	B000271	BEALL	Republican	MD	394.37163425599999	835.43784905300004
6	B000356	BENDER	Republican	OH	452.88517554800001	1013.15958899
7	B000384	BENNETT	Republican	UT	502.673799191	543.68992661300001
8	B000436	BIBLE	Democrat	NV	-277.16650986799999	-435.01162768400002
9	B000820	BRICKER	Republican	OH	899.92144734399994	-230.66453909500001
10	B000823	BRIDGES	Republican	NH	1225.0710634100001	-109.598560214
11	B001167	BUSH	Republican	CT	624.20860685499997	1043.4565085300001
12	B001180	BUTLER	Republican	MD	800.59771700600004	432.15341176099997
13	B001208	BYRD	Democrat	VA	763.1564045560001	-98.487961612399999
14	C000128	CAPEHART	Republican	IN	1095.3887262000001	-232.73072388599999
15	C000154	CARLSON	Republican	KS	791.68484316399997	692.40367668399995
16	C000220	CASE, C.	Republican	NJ	218.71877908299999	1119.9468151799999
17	C000221	CASE, F.	Republican	SD	588.12555446699992	-126.28620862700001
18	C000338	CHAVEZ	Democrat	NM	-730.092352882	512.33219115199995
19	C000506	CLEMENTS	Democrat	KY	-437.245900973	-330.42000868900004
20	C000802	COTTON	Republican	NH	356.10137297900002	537.592100362
21	C001006	CURTIS	Republican	NE	-1043.2099088699999	575.28268206999996
22	D000036	DANIEL	Democrat	TX	399.56331125300005	-332.48440132100001
23	D000360	DIRKSEN	Republican	IL	457.50907645000001	680.19654662599999
24	D000456	DOUGLAS	Democrat	IL	-805.18366747699997	-77.070190629199999
25	D000516	DUFF	Republican	PA	398.43546666099996	1152.81470246
26	D000585	DWORSHAK	Republican	ID	809.92764467100005	-771.35610636699994
27	E000018	EASTLAND	Democrat	MS	268.79448726099997	-75.849350231599999
28	E000112	ELLENDER	Democrat	LA	-33.739423118099999	109.337272857
29	E000211	ERVIN	Democrat	NC	-185.13226961999999	-139.236277548
30	F000190	FLANDERS	Republican	VT	461.74176862300004	404.08905398600001
31	F000356	FREAR	Democrat	DE	332.78615127900002	-207.35266103599997
32	F000401	FULBRIGHT	Democrat	AR	-463.121954243	-180.52758958099997
33	G000131	GEORGE	Democrat	GA	-220.13432391599997	-763.64620651199994
34	G000267	GOLDWATER	Republican	AZ	1073.86069565	89.390370268400005
35	G000320	GORE	Democrat	TN	53.687850448999995	-815.70718403199999
