	id	name	party	state	x	y
0	A000062	AIKEN	Republican	VT	-271.732829794	-601.75636392800004
1	A000161	ALLOTT	Republican	CO	28.436281724299999	-318.69809657100001
2	A000186	ANDERSON	Democrat	NM	33.9971700185	231.09300537400003
3	B000063	BAKER	Republican	TN	25.8822893434	-225.61768481099998
4	B000201	BARTLETT	Democrat	AK	479.75846215800004	84.747606279899998
5	B000254	BAYH	Democrat	IN	-223.20035733099999	449.31036014400001
6	B000384	BENNETT	Republican	UT	143.93747071600001	-392.11454533199998
7	B000436	BIBLE	Democrat	NV	-260.25902757099999	150.49272931299998
8	B000593	BOGGS	Republican	DE	-6.2925956867400004	-80.2542438734
9	B000813	BREWSTER	Democrat	MD	-241.82557155900002	644.80939255500004
10	B000871	BROOKE	Republican	MA	-287.13250887499998	-811.67095035800003
11	B001077	BURDICK	Democrat	ND	21.751869316999997	509.75734802199997
12	B001209	BYRD, H.	Democrat	VA	-151.513989176	-321.55811517000001
13	B001210	BYRD, R.	Democrat	WV	-277.74986783899999	54.276219861099996
14	C000120	CANNON	Democrat	NV	-94.649547285499992	114.878731559
15	C000154	CARLSON	Republican	KS	117.85781776799999	-223.301964153
16	C000220	CASE	Republican	NJ	188.25425981400002	-889.13932211399992
17	C000388	CHURCH	Democrat	ID	-148.38272744100001	347.40534623599996
18	C000444	CLARK	Democrat	PA	-512.61314469000001	320.29203243299997
19	C000758	COOPER	Republican	KY	453.38440529699994	-254.23918025500001
20	C000802	COTTON	Republican	NH	88.455773632099991	-474.11721899599996
21	C001006	CURTIS	Republican	NE	175.14395909200002	-506.66029287099997
22	D000360	DIRKSEN	Republican	IL	-50.4758192468	-286.00043363399999
23	D000390	DODD	Democrat	CT	-449.73913133100001	609.66296538400002
24	D000409	DOMINICK	Republican	CO	3.7000394281300002	-461.170766222
25	E000018	EASTLAND	Democrat	MS	-244.509575635	-314.74171177700003
26	E000112	ELLENDER	Democrat	LA	-271.74349305700002	-129.44487172000001
27	E000211	ERVIN	Democrat	NC	-338.61850614999997	-339.00867663599996
28	F000013	FANNIN	Republican	AZ	223.97054628700002	-234.050914877
29	F000245	FONG	Republican	HI	-154.309241305	-655.30696667300003
30	F000401	FULBRIGHT	Democrat	AR	722.99356279100004	66.634150343199991
31	G000282	GOODELL	Republican	NY	-663.35410532200001	470.74836973999999
32	G000320	GORE	Democrat	TN	-10.84899148	322.03687588599996
33	G000465	GRIFFIN	Republican	MI	-86.563839355400006	-758.16762671000004
34	G000508	GRUENING	Democrat	AK	568.90791578000005	163.41269775500001
35	H000170	HANSEN	Republican	WY	233.53468888800001	-439.56872571400004
36	H000237	HARRIS	Democrat	OK	-192.02463556700002	725.43719911699998
37	H000291	HART	Democrat	MI	-27.874237646799997	882.04661735699995
38	H000297	HARTKE	Democrat	IN	-381.83937951000001	412.48351091699999
39	H000343	HATFIELD	Republican	OR	508.24825217800003	-353.49474107699996
40	H000385	HAYDEN	Democrat	AZ	134.10822600700001	188.16678103599997
41	H000559	HICKENLOOPE	Republican	IA	-51.325662248199997	-386.54708885100001
42	H000598	HILL	Democrat	AL	-325.92537015200003	-33.685294994400003
43	H000720	HOLLAND	Democrat	FL	-379.02941861400001	-113.825292692
44	H000725	HOLLINGS	Democrat	SC	-331.21962731000002	-217.83171409400001
45	H000875	HRUSKA	Republican	NE	97.704936191900003	-580.87826515500001
46	I000025	INOUYE	Democrat	HI	-139.48645766799999	800.20567299200002
47	J000013	JACKSON	Democrat	WA	-296.45108814400004	796.99874065699998
48	J000064	JAVITS	Republican	NY	106.437792386	-978.11245823699994
49	J000267	JORDAN, B.	Democrat	NC	-220.153277296	-212.56269757999999
50	J000269	JORDAN, L.	Republican	ID	53.868072828599999	-393.61747335199999
51	K000105	KENNEDY, E.	Democrat	MA	-564.34247167599995	-225.18391086900002
52	K000114	KENNEDY, R.	Democrat	NY	-651.829172341	-137.77798782100001
53	K000335	KUCHEL	Republican	CA	205.17858022599998	58.609046846999995
54	L000122	LAUSCHE	Democrat	OH	243.77661506799998	-329.28635869099998
55	L000415	LONG, E.	Democrat	MO	429.763092884	-4.0559664067800005
56	L000428	LONG, R.	Democrat	LA	-188.40219070700002	82.007407914499993
57	M000053	MAGNUSON	Democrat	WA	199.96308943700001	557.31695011199997
58	M000113	MANSFIELD	Democrat	MT	215.30489622499999	434.111475547
59	M000311	MCCARTHY	Democrat	MN	634.39827600900003	-130.53897067299999
60	M000332	MCCLELLAN	Democrat	AR	-261.41225914900002	-411.96460653999998
61	M000445	MCGEE	Democrat	WY	-98.679310127400001	702.30784939499995
62	M000452	MCGOVERN	Democrat	SD	-51.572406000000001	419.80977660900004
63	M000486	MCINTYRE	Democrat	NH	63.649665237299999	603.67323882800008
64	M000671	METCALF	Democrat	MT	-285.68079941900004	561.68299624899998
65	M000730	MILLER	Republican	IA	116.48963420700001	-310.88548770400001
66	M000851	MONDALE	Democrat	MN	71.441057644200001	898.53093305300001
67	M000859	MONRONEY	Democrat	OK	118.515504311	303.39600392900002
68	M000876	MONTOYA	Democrat	NM	121.683654068	503.78976143300002
69	M001014	MORSE	Democrat	OR	455.84124292500002	184.65277766099999
70	M001022	MORTON	Republican	KY	-33.300914756700003	-859.45669759199995
71	M001033	MOSS	Democrat	UT	-140.848127492	628.33257721799998
72	M001078	MUNDT	Republican	SD	-81.988501738400004	-486.19073444899999
73	M001092	MURPHY	Republican	CA	197.69698123500001	-596.18851403799999
74	M001121	MUSKIE	Democrat	ME	23.7397841059	695.86022012399997
