	id	name	party	state	x	y
0	A000219	ARMSTRONG	Republican	CO	269.04800957099997	-940.290996995
1	B000063	BAKER, H	Republican	TN	-623.02103234399999	595.46974854899997
2	B000243	BAUCUS, M	Democrat	MT	-321.79138859900002	190.096337482
3	B000254	BAYH, B	Democrat	IN	-196.900480225	413.41845220099998
4	B000351	BELLMON, H	Republican	OK	-658.46017532099995	455.44168316599996
5	B000401	BENTSEN, L	Democrat	TX	-311.54938704799997	-92.82487401569999
6	B000444	BIDEN, J	Democrat	DE	-110.377516589	369.26042917500001
7	B000639	BOREN, D	Democrat	OK	-208.76653240599998	-692.97049714800005
8	B000647	BOSCHWITZ	Republican	MN	102.08744134	-420.59149151400004
9	B001057	BUMPERS, D	Democrat	AR	435.77453168699998	364.27150668000002
10	B001077	BURDICK, Q	Democrat	ND	266.502225807	312.79714658699999
11	B001209	BYRD, HF	Independent	VA	-61.476705041400002	-878.86253152899997
12	B001210	BYRD, RC	Democrat	WV	232.516839753	462.04788991300001
13	B001225	BRADLEY, W	Democrat	NJ	-244.294797407	115.67473478399999
14	C000120	CANNON, H	Democrat	NV	334.7749756	657.12477454300006
15	C000269	CHAFEE, J	Republican	RI	-467.265104286	-573.67974015900006
16	C000356	CHILES, L	Democrat	FL	255.05934920599998	595.70274637199998
17	C000388	CHURCH, F	Democrat	ID	90.38203584819999	539.91965045099994
18	C000567	COCHRAN, T	Republican	MS	135.20274568600001	-580.67685919300004
19	C000598	COHEN, W	Republican	ME	-150.639418511	-452.91673331099997
20	C000877	CRANSTON, A	Democrat	CA	-55.628214832200001	114.05377415
21	C000979	CULVER, J	Democrat	IA	17.120927134000002	44.913788358299996
22	D000030	DANFORTH, J	Republican	MO	-325.65902652	730.76345618000005
23	D000185	DECONCINI	Democrat	AZ	430.96496036400004	714.8365738839999
24	D000401	DOLE, R	Republican	KS	27.029772069499998	-578.90530520599998
25	D000407	DOMENICI, P	Republican	NM	39.452490706900001	-669.85284741500004
26	D000566	DURENBERGER	Republican	MN	-540.64657561199999	-496.67816503900002
27	D000574	DURKIN, J	Democrat	NH	71.6720435509	415.080182734
28	E000004	EAGLETON, T	Democrat	MO	181.22447845099998	358.17706544699996
29	E000284	EXON, J	Democrat	NE	281.34891635599996	843.77047621600002
30	F000268	FORD, W	Democrat	KY	516.039945622	533.60273417400003
31	G000072	GARN, J	Republican	UT	154.13521856700001	-934.39139725699999
32	G000236	GLENN, J	Democrat	OH	111.03939332899999	291.97947179499999
33	G000267	GOLDWATER	Republican	AZ	42.661393518899999	-1022.22637378
34	G000388	GRAVEL, M	Democrat	AK	407.69410672699996	59.266612947600002
35	H000287	HART, G	Democrat	CO	-222.39783756200001	20.571814775299998
36	H000338	HATCH, O	Republican	UT	221.90508632000001	-851.31103014600001
37	H000343	HATFIELD, M	Republican	OR	-346.37558503199995	-453.49695511699997
38	H000384	HAYAKAWA, S	Republican	CA	243.26910045299999	-618.94692215700002
39	H000445	HEFLIN, H	Democrat	AL	517.03662799699998	788.41994848399997
40	H000456	HEINZ, J	Republican	PA	-251.89753618400002	-416.36642053099996
41	H000463	HELMS, J	Republican	NC	313.37881397699999	-1041.4085261099999
42	H000725	HOLLINGS, E	Democrat	SC	280.18297624299998	738.50304126399999
43	H000905	HUDDLESTON	Democrat	KY	316.81191277799996	492.20503067499999
44	H000951	HUMPHREY, G	Republican	NH	386.30384615499997	-929.17293644100005
