	id	name	party	state	x	y
0	A000062	AIKEN	Republican	VT	-97.103503938700015	-519.55435750900006
1	A000161	ALLOTT	Republican	CO	-530.36880986999995	-472.44592967900002
2	A000186	ANDERSON	Democrat	NM	821.87807692899992	3.9443860649699998
3	B000201	BARTLETT	Democrat	AK	326.493070106	-255.53157157000001
4	B000254	BAYH	Democrat	IN	237.31936208099998	130.84758401600001
5	B000271	BEALL	Republican	MD	-130.06336634600001	-405.22832509
6	B000384	BENNETT	Republican	UT	-612.74634786800004	-300.33781923399999
7	B000436	BIBLE	Democrat	NV	-806.14438476199996	-479.58908885599999
8	B000593	BOGGS	Republican	DE	-239.13005022999999	-453.62622531599999
9	B000813	BREWSTER	Democrat	MD	316.97693946999999	-381.7100365
10	B001077	BURDICK	Democrat	ND	286.046822738	-15.3230402223
11	B001208	BYRD, H.	Democrat	VA	300.64027659300001	491.479809612
12	B001210	BYRD, R.	Democrat	WV	-260.20732385599996	983.777724992
13	C000120	CANNON	Democrat	NV	695.91779577600005	85.757962863499998
14	C000154	CARLSON	Republican	KS	-486.82987201699996	-357.35050903300004
15	C000220	CASE	Republican	NJ	521.14610399699995	74.558013506999998
16	C000388	CHURCH	Democrat	ID	130.72153666599999	220.44659102099999
17	C000444	CLARK	Democrat	PA	413.467215759	360.94726469900002
18	C000758	COOPER	Republican	KY	-245.146119992	-575.55289747999996
19	C000802	COTTON	Republican	NH	-429.47160453099997	193.09757653
20	C001006	CURTIS	Republican	NE	-443.57646369400004	-125.730053376
21	D000360	DIRKSEN	Republican	IL	-328.377134888	-375.75724639699996
22	D000390	DODD	Democrat	CT	-351.40366289800005	-785.51225160899992
23	D000409	DOMINICK	Republican	CO	-660.07513571000004	-187.333575865
24	D000456	DOUGLAS	Democrat	IL	508.44573053900001	-142.80513129900001
25	E000018	EASTLAND	Democrat	MS	383.44897410800002	724.94102107399999
26	E000055	EDMONDSON	Democrat	OK	-177.002525679	-185.47177863499999
27	E000112	ELLENDER	Democrat	LA	264.92020942400001	830.58662308899989
28	E000181	ENGLE	Democrat	CA	978.50799905999997	-450.86631616599999
29	E000211	ERVIN	Democrat	NC	140.30075995499999	854.43277744399995
30	F000245	FONG	Republican	HI	402.94556150599999	163.49975982399999
31	F000401	FULBRIGHT	Democrat	AR	657.14410890199997	-615.64627458799998
32	G000267	GOLDWATER	Republican	AZ	785.71759642999996	-869.71730748499999
33	G000320	GORE	Democrat	TN	894.93755927199993	-274.52921373999999
34	G000508	GRUENING	Democrat	AK	-398.24120122900001	-1013.52269963
35	H000291	HART	Democrat	MI	-254.10388079900002	483.94336084899999
36	H000297	HARTKE	Democrat	IN	-579.50978712699998	519.46607039200001
37	H000385	HAYDEN	Democrat	AZ	190.46498945499999	407.520912151
38	H000559	HICKENLOOPE	Republican	IA	-546.553458879	97.483832501800009
39	H000598	HILL	Democrat	AL	-97.030666185599998	762.72133364600006
40	H000720	HOLLAND	Democrat	FL	-88.148356472900005	920.51341650799998
41	H000875	HRUSKA	Republican	NE	-486.319212279	-23.374806479
42	H000953	HUMPHREY	Democrat	MN	449.74614329900004	-293.56290363799997
43	I000025	INOUYE	Democrat	HI	440.42798475800004	-442.58453829300004
44	J000013	JACKSON	Democrat	WA	227.86007951400001	-178.31599871700001
45	J000064	JAVITS	Republican	NY	181.569048463	-639.97918263099996
46	J000195	JOHNSTON	Democrat	SC	-10.124632721799999	1037.15364406
47	J000267	JORDAN, B.	Democrat	NC	106.24457639200001	999.61157524100008
48	J000269	JORDAN, L.	Republican	ID	-402.20720706399999	-262.05475732100001
49	K000036	KEATING	Republican	NY	-32.308493538600004	-839.74556567399998
50	K000044	KEFAUVER	Democrat	TN	898.30302562600002	-548.25887649999993
51	K000105	KENNEDY, E.	Democrat	MA	-738.87455839399991	580.24511626399999
52	K000335	KUCHEL	Republican	CA	25.747184319999999	-598.30396662199996
53	L000122	LAUSCHE	Democrat	OH	604.36549753999998	358.75287496800001
54	L000415	LONG, E.	Democrat	MO	-11.428074851600002	-161.50768560399999
55	L000428	LONG, R.	Democrat	LA	31.648893152800003	892.70405394300008
56	M000053	MAGNUSON	Democrat	WA	38.845085785900004	27.338213253200003
57	M000113	MANSFIELD	Democrat	MT	-642.40461395400007	-665.23851596300005
58	M000311	MCCARTHY	Democrat	MN	21.8549703073	341.748319831
59	M000332	MCCLELLAN	Democrat	AR	173.33046469200002	734.60443089800003
60	M000445	MCGEE	Democrat	WY	-44.662813091700002	97.903777954399999
61	M000452	MCGOVERN	Democrat	SD	346.01033207400002	-135.10813249099999
62	M000486	MCINTYRE	Democrat	NH	317.72223684700003	-509.97091851099998
63	M000582	MCNAMARA	Democrat	MI	176.04153475400003	-40.129665201199998
64	M000623	MECHEN	Republican	NM	-171.760703245	223.073143958
65	M000671	METCALF	Democrat	MT	75.833378582400002	-73.540404144600004
66	M000730	MILLER	Republican	IA	-411.82008784499999	-450.38721162900003
67	M000859	MONRONEY	Democrat	OK	-107.972159924	389.81040135699999
68	M001014	MORSE	Democrat	OR	13.287744313599999	208.806991135
69	M001022	MORTON	Republican	KY	-311.07324287199998	182.08061836299999
70	M001033	MOSS	Democrat	UT	-448.53897734699996	583.49884756899996
71	M001078	MUNDT	Republican	SD	-523.24257029499995	-220.17464223299999
