	id	name	party	state	x	y
0	S010	Biden (D-DE)	D	DE	647.60609004800006	-762.88320242600003
1	S017	Byrd (D-WV)	D	WV	-299.52357853199999	412.05886473499999
2	S027	Domenici (R-NM)	R	NM	-238.65127536400001	-34.3168590931
3	S047	Hollings (D-SC)	D	SC	287.33157756599996	6.3131128175800004
4	S051	Inouye (D-HI)	D	HI	-459.99578955800001	-930.09098577700001
5	S055	Kennedy (D-MA)	D	MA	25.1760317783	-671.78207052400001
6	S057	Leahy (D-VT)	D	VT	-454.21200553099999	455.999547259
7	S090	Stevens (R-AK)	R	AK	-645.35601730199994	-369.75284116199998
8	S105	Lugar (R-IN)	R	IN	402.34862189	773.46477603800008
9	S106	Sarbanes (D-MD)	D	MD	436.38618595199995	-791.72169155199992
10	S118	Hatch (R-UT)	R	UT	-542.68428365400007	-69.498748092299991
11	S127	Baucus (D-MT)	D	MT	331.096259514	-140.338118388
12	S131	Levin (D-MI)	D	MI	-572.03083076899998	287.16253384999999
13	S136	Cochran (R-MS)	R	MS	-394.99016459900002	-32.463348087900002
14	S143	Warner (R-VA)	R	VA	275.06326359900004	862.96652299100003
15	S150	Dodd (D-CT)	D	CT	-316.40416384400004	-678.156810447
16	S153	Grassley (R-IA)	R	IA	-675.97096966000004	-193.47373780000001
17	S158	Nickles (R-OK)	R	OK	-298.34132671999998	1144.8939258099999
18	S161	Specter (R-PA)	R	PA	-775.9905202089999	-769.91818949000003
19	S166	Lautenberg (D-NJ)	D	NJ	285.31236618599996	-481.58111139599998
20	S167	Bingaman (D-NM)	D	NM	617.34392534400001	-395.49050095500002
21	S172	Harkin (D-IA)	D	IA	807.47599769500005	-58.330429076099996
22	S173	Kerry (D-MA)	D	MA	-435.428136231	-1102.61667698
23	S174	McConnell (R-KY)	R	KY	-474.89314434099998	-219.586221932
24	S176	Rockefeller (D-WV)	D	WV	66.236185515200006	-486.96133889999993
25	S179	Breaux (D-LA)	D	LA	532.62801359599996	283.32403210299998
26	S182	Mikulski (D-MD)	D	MD	-105.89362085100001	-449.36381932800003
27	S184	Shelby (R-AL)	R	AL	18.679793605899999	315.17915210299998
28	S185	Daschle (D-SD)	D	SD	741.79347131600002	-925.24225786800002
29	S197	McCain (R-AZ)	R	AZ	-1160.38641104	-185.97628835700002
30	S198	Reid (D-NV)	D	NV	350.35948983999998	-611.58169797999994
31	S199	Graham (D-FL)	D	FL	643.59679285100003	-556.76829639900006
32	S200	Bond (R-MO)	R	MO	-132.62496297499999	247.468367976
33	S201	Conrad (D-ND)	D	ND	579.75584671499996	-112.519320131
34	S203	Lott (R-MS)	R	MS	68.401511035600009	-889.04669150199993
35	S204	Jeffords (I-VT)	I	VT	-674.37735661599993	433.98319002
36	S209	Kohl (D-WI)	D	WI	765.77425055800006	-277.77857927000002
37	S210	Lieberman (D-CT)	D	CT	-724.9668547	195.65479997400001
38	S211	Burns (R-MT)	R	MT	-505.51080717900004	82.030652251299998
39	S213	Akaka (D-HI)	D	HI	-331.208524797	-499.04944449800001
40	S215	Craig (R-ID)	R	ID	540.20844084099997	627.58160243999998
41	S221	Feinstein (D-CA)	D	CA	-881.4823490739999	353.60728081300005
42	S222	Dorgan (D-ND)	D	ND	610.02913003800006	-246.49009172000001
43	S223	Boxer (D-CA)	D	CA	517.75289337000004	-945.75243309300004
44	S224	Gregg (R-NH)	R	NH	-1051.3697748300001	-54.1532411512
45	S225	Campbell (R-CO)	R	CO	209.282391776	-1131.40322606
46	S229	Murray (D-WA)	D	WA	-761.58353142700003	19.365250896599999
47	S230	Feingold (D-WI)	D	WI	-117.76893347799999	-797.72932111899991
48	S231	Bennett (R-UT)	R	UT	-211.54045493300001	115.77383014200001
49	S235	Hutchison (R-TX)	R	TX	452.41037906099996	926.95227618000001
50	S236	Inhofe (R-OK)	R	OK	60.622472643999998	1255.0545559300001
51	S240	DeWine (R-OH)	R	OH	-18.8286198813	109.051119253
52	S241	Frist (R-TN)	R	TN	-114.385248276	393.25698081500002
53	S243	Kyl (R-AZ)	R	AZ	94.02535297979999	969.42914011699997
54	S244	Santorum (R-PA)	R	PA	-146.438694005	854.27265400399995
55	S245	Snowe (R-ME)	R	ME	-1017.58339803	-256.55429880899999
56	S246	Thomas (R-WY)	R	WY	-24.2751565654	-1313.6561558000001
57	S247	Wyden (D-OR)	D	OR	471.00163747900001	-454.80270956599998
58	S249	Brownback (R-KS)	R	KS	-208.07668915099998	-1022.40359869
59	S250	Allard (R-CO)	R	CO	-109.332886163	1109.3993420100001
60	S252	Collins (R-ME)	R	ME	-217.15746714099998	-284.58763138500001
61	S253	Durbin (D-IL)	D	IL	840.46705235899992	-694.22020851000002
62	S254	Enzi (R-WY)	R	WY	-257.99823195800002	975.94889929899989
63	S255	Hagel (R-NE)	R	NE	209.46700577200002	736.57464490100006
64	S257	Johnson (D-SD)	D	SD	445.29355305199999	-51.991978767200003
65	S258	Landrieu (D-LA)	D	LA	393.38829920400002	160.41178335999999
66	S259	Reed (D-RI)	D	RI	165.39213936199999	-620.52691179600004
67	S260	Roberts (R-KS)	R	KS	151.72520124900001	589.09428166099997
68	S261	Sessions (R-AL)	R	AL	13.623622268499998	839.44762176899997
69	S262	Smith (R-OR)	R	OR	235.37505010999999	447.03696161800002
70	S264	Bayh (D-IN)	D	IN	832.30868385999997	667.06040772999995
71	S265	Bunning (R-KY)	R	KY	12.398934174800001	599.41334945999995
72	S266	Crapo (R-ID)	R	ID	-130.215285241	1261.8383689100001
73	S267	Edwards (D-NC)	D	NC	947.67259312199997	-485.38182120900001
74	S268	Fitzgerald (R-IL)	R	IL	-83.736911199799991	-52.056401185600002
75	S269	Lincoln (D-AR)	D	AR	570.05166882000003	122.29696956399999
76	S270	Schumer (D-NY)	D	NY	488.91227848199998	-589.80372274399997
77	S271	Voinovich (R-OH)	R	OH	475.48764129699998	-1319.5274415900001
78	S272	Chafee (R-RI)	R	RI	-1147.09208074	-376.74700365199999
79	S273	Miller (D-GA)	D	GA	-67.915974698200003	1593.69519919
80	S274	Allen (R-VA)	R	VA	330.62441158799999	608.61672533199999
81	S275	Cantwell (D-WA)	D	WA	360.46196533599999	-371.56138757599996
82	S277	Carper (D-DE)	D	DE	475.53472271699997	-267.98189242299998
83	S278	Clinton (D-NY)	D	NY	-410.78219217300006	274.36345104999998
84	S279	Corzine (D-NJ)	D	NJ	287.62093665599997	-891.88332871800003
85	S280	Dayton (D-MN)	D	MN	754.59083619699993	-481.80410664099998
86	S281	Ensign (R-NV)	R	NV	65.5075821139	1107.98658335
87	S282	Nelson (D-FL)	D	FL	233.89381789799998	-269.27257161699998
88	S283	Nelson (D-NE)	D	NE	716.65732075300002	1269.9333905999999
89	S284	Stabenow (D-MI)	D	MI	-151.41193854100001	-602.95234695699992
90	S286	Talent (R-MO)	R	MO	-303.86770450299997	694.70937820300003
91	S287	Cornyn (R-TX)	R	TX	311.68940218699998	1016.49843249
92	S288	Murkowski (R-AK)	R	AK	-609.72143673199992	642.69856404400002
