	id	name	party	state	x	y
0	A000014	Abercrombie	D	HI	26.352402837899998	-21.318501333699999
1	A000022	Ackerman	D	NY	33.003903039000001	-15.727496651199999
2	A000055	Aderholt	R	AL	-28.087220897199998	20.066894281099998
3	A000210	Andrews	D	NJ	21.102211771	-19.961903463500001
4	A000357	Allen	D	ME	25.343777536799998	-14.376344982899999
5	A000358	Akin	R	MO	-9.2720323977600003	23.817757659000002
6	A000361	Alexander	R	LA	-29.216887551500001	19.752893098599998
7	B000013	Bachus	R	AL	-21.115936922300001	22.004899217600002
8	B000072	Baker	R	LA	-22.876272159399999	22.7245793019
9	B000208	Bartlett (MD)	R	MD	-11.8616160436	16.158335054200002
10	B000213	Barton (TX)	R	TX	-16.8768211925	20.934693716400002
11	B000220	Bass	R	NH	-18.770726638399999	9.3702958360699995
12	B000287	Becerra	D	CA	33.192295521200002	-13.3950770401
13	B000410	Berman	D	CA	28.843713498400003	-15.2985582629
14	B000420	Berry	D	AR	6.0056707973599996	-22.0407349635
15	B000461	Bilbray	R	CA	-14.1985346596	4.1375118435100005
16	B000463	Bilirakis	R	FL	-20.834771067799998	17.2915573758
17	B000490	Bishop (GA)	D	GA	6.2631968535200002	-23.254488104099998
18	B000574	Blumenauer	D	OR	38.846552208699997	-12.952330711199998
19	B000575	Blunt	R	MO	-27.670788707300002	21.8029422764
20	B000586	Boehlert	R	NY	-19.263109157399999	2.4457249482799996
21	B000589	Boehner	R	OH	-27.4146357081	21.175655059300002
22	B000617	Bonilla	R	TX	-26.6732905207	22.1620186705
23	B000652	Boswell	D	IA	7.9572987803299995	-22.445826654000001
24	B000657	Boucher	D	VA	9.0282308451700004	-21.737520630999999
25	B000716	Boyd	D	FL	4.1145918043599998	-23.069974998200003
26	B000755	Brady (TX)	R	TX	-17.259190971500001	23.929384412899999
27	B000911	Brown, Corrine	D	FL	26.148249758400002	-16.319014759400002
28	B000944	Brown (OH)	D	OH	27.7591805243	-15.276314683800001
29	B001149	Burton (IN)	R	IN	-15.521434251099999	22.0324180685
30	B001203	Buyer	R	IN	-17.5599333808	23.452915278200003
31	B001227	Brady (PA)	D	PA	18.070196238800001	-20.3528947605
32	B001228	Bono	R	CA	-21.965448712499999	7.7422168275399992
33	B001229	Baird	D	WA	16.1876703378	-20.072819509400002
34	B001230	Baldwin	D	WI	38.263958787100002	-17.112120740599998
35	B001231	Berkley	D	NV	19.7236315058	-19.775389409399999
36	B001232	Biggert	R	IL	-21.913237391999999	7.1610249179999999
37	B001234	Baca	D	CA	14.765361782299999	-19.3091464727
38	B001235	Brown (SC)	R	SC	-24.734644909899998	20.032905035500001
39	B001236	Boozman	R	AR	-27.106248835500001	17.212113583800001
40	B001239	Barrett (SC)	R	SC	-6.9853337464499994	22.622229530300004
41	B001240	Beauprez	R	CO	-11.116963502200001	22.231143305100002
42	B001242	Bishop (NY)	D	NY	24.294530806899999	-13.824988723299999
43	B001243	Blackburn	R	TN	-8.4179281752200001	23.032054176500001
44	B001244	Bonner	R	AL	-26.7397217002	17.118712955699998
45	B001246	Bradley (NH)	R	NH	-18.753280975700001	9.22182107247
46	B001247	Brown-Waite, Ginny	R	FL	-18.217398136300002	12.3874135798
47	B001248	Burgess	R	TX	-21.782593176300001	21.0308270112
48	B001250	Bishop (UT)	R	UT	-16.368817575799998	23.142528025500003
49	B001251	Butterfield	D	NC	17.442657363199999	-17.994737659000002
50	B001252	Barrow	D	GA	4.3616102971099995	-22.3507077115
51	B001253	Bean	D	IL	10.5907698973	-24.221407813400003
52	B001254	Boren	D	OK	1.8969270786400003	-23.738645149699998
53	B001255	Boustany	R	LA	-28.8449263794	16.153301064699999
54	C000059	Calvert	R	CA	-29.673184776900001	18.0205670502
55	C000071	Camp	R	MI	-27.4432897911	12.5963150194
56	C000116	Cannon	R	UT	-16.217065673900002	21.769877661300001
57	C000141	Cardin	D	MD	23.630263703000001	-14.5721554901
58	C000191	Carson	D	IN	33.923049576899999	-16.036856359600002
59	C000243	Castle	R	DE	-19.1286951248	2.9040501814400002
60	C000266	Chabot	R	OH	-11.678593166400001	19.008901331099999
61	C000537	Clyburn	D	SC	19.736009495499999	-16.902663975199999
62	C000556	Coble	R	NC	-13.8753549496	19.667830757800001
63	C000714	Conyers	D	MI	40.774064456799998	-13.948494135399999
64	C000754	Cooper	D	TN	10.592862562899999	-24.540271619000002
65	C000794	Costello	D	IL	11.069874069900001	-21.4614223574
66	C000830	Cox	R	CA	-11.941392589400001	13.2783838168
67	C000868	Cramer	D	AL	2.32985958563	-23.992471529099998
68	C000962	Cubin	R	WY	-15.258966020699999	20.3108269984
69	C000984	Cummings	D	MD	30.753878894899998	-13.670497546400002
70	C000994	Cunningham	R	CA	-18.218999360799998	8.6679633658300013
71	C001036	Capps	D	CA	33.963897576900003	-13.4126917921
72	C001037	Capuano	D	MA	38.325570726399995	-13.358162716400001
73	C001038	Crowley	D	NY	25.5333134808	-16.824189343900002
74	C001045	Crenshaw	R	FL	-30.089210824499997	18.2536376286
75	C001046	Cantor	R	VA	-19.5922172139	24.523077297499999
76	C001047	Capito	R	WV	-25.040567917099999	8.3286839856699988
77	C001048	Culberson	R	TX	-23.063517006199998	22.350536080799998
78	C001049	Clay	D	MO	28.6376336127	-19.857183174199999
79	C001050	Cardoza	D	CA	7.7235080424300007	-22.7423505358
80	C001051	Carter	R	TX	-26.417317679899998	22.1565669489
81	C001052	Chocola	R	IN	-9.4866061620500002	22.8424879019
82	C001053	Cole (OK)	R	OK	-27.528460128500001	21.285825567100002
