i	j	val
0	0	1.0
0	1	0.0957446808511
0	2	0.117021276596
0	3	0.0425531914894
0	4	0.191489361702
0	5	0.882978723404
0	6	0.0744680851064
0	7	0.0851063829787
0	8	0.712765957447
0	9	0.106382978723
0	10	0.840425531915
0	11	0.882978723404
0	12	0.893617021277
0	13	0.031914893617
0	14	0.914893617021
0	15	0.265957446809
0	16	0.957446808511
0	17	0.0851063829787
0	18	0.978723404255
0	19	0.0531914893617
0	20	0.0957446808511
0	21	0.0425531914894
0	22	0.968085106383
0	23	0.893617021277
0	24	0.81914893617
0	25	0.872340425532
0	26	0.936170212766
0	27	0.0744680851064
0	28	0.159574468085
0	29	0.159574468085
0	30	0.117021276596
0	31	0.0212765957447
0	32	0.0957446808511
0	33	0.0425531914894
0	34	0.0425531914894
0	35	0.968085106383
0	36	0.968085106383
0	37	0.957446808511
0	38	0.86170212766
0	39	0.0957446808511
0	40	0.925531914894
0	41	0.670212765957
0	42	0.978723404255
0	43	0.872340425532
0	44	0.978723404255
0	45	0.0531914893617
0	46	0.063829787234
0	47	0.989361702128
0	48	0.031914893617
0	49	0.904255319149
0	50	0.946808510638
0	51	0.755319148936
0	52	0.787234042553
0	53	1.0
0	54	0.946808510638
0	55	0.840425531915
0	56	0.595744680851
0	57	0.117021276596
0	58	0.202127659574
0	59	0.946808510638
0	60	0.0531914893617
0	61	0.0425531914894
0	62	0.0531914893617
0	63	0.063829787234
0	64	0.127659574468
0	65	0.0851063829787
0	66	0.18085106383
0	67	0.0851063829787
0	68	0.0212765957447
0	69	0.0531914893617
0	70	0.170212765957
0	71	0.925531914894
0	72	1.0
0	73	0.117021276596
0	74	0.659574468085
0	75	0.0531914893617
0	76	0.13829787234
0	77	0.914893617021
0	78	0.617021276596
0	79	0.957446808511
0	80	0.840425531915
0	81	0.808510638298
0	82	0.957446808511
0	83	0.063829787234
0	84	1.0
0	85	1.0
0	86	0.957446808511
0	87	0.0957446808511
0	88	0.0425531914894
0	89	0.0425531914894
0	90	0.0957446808511
0	91	0.063829787234
0	92	0.117021276596
0	93	0.0851063829787
0	94	0.0851063829787
0	95	0.936170212766
0	96	0.0851063829787
0	97	0.031914893617
0	98	0.0851063829787
0	99	0.0744680851064
1	0	0.118421052632
1	1	1.0
1	2	0.947368421053
1	3	0.802631578947
1	4	0.894736842105
1	5	0.105263157895
1	6	0.828947368421
1	7	0.828947368421
1	8	0.105263157895
1	9	0.934210526316
1	10	0.157894736842
1	11	0.118421052632
1	12	0.144736842105
1	13	0.881578947368
1	14	0.171052631579
1	15	0.539473684211
1	16	0.118421052632
1	17	0.789473684211
1	18	0.131578947368
1	19	0.894736842105
1	20	0.842105263158
1	21	0.881578947368
1	22	0.118421052632
1	23	0.144736842105
1	24	0.223684210526
1	25	0.184210526316
1	26	0.131578947368
1	27	0.894736842105
1	28	0.723684210526
1	29	0.815789473684
1	30	0.736842105263
1	31	0.75
1	32	0.815789473684
1	33	0.815789473684
1	34	0.855263157895
1	35	0.118421052632
1	36	0.118421052632
1	37	0.118421052632
1	38	0.157894736842
1	39	0.776315789474
1	40	0.157894736842
1	41	0.263157894737
1	42	0.118421052632
1	43	0.210526315789
1	44	0.131578947368
1	45	0.881578947368
1	46	0.881578947368
1	47	0.105263157895
1	48	0.881578947368
1	49	0.118421052632
1	50	0.131578947368
1	51	0.25
1	52	0.210526315789
1	53	0.118421052632
1	54	0.118421052632
1	55	0.144736842105
