	id	name	party	state	x	y
0	A000017	ABOUREZK J	Democrat	SD	-275.177953591	727.88107324999999
1	A000062	AIKEN G	Republican	VT	-102.283852289	-152.50948541899999
2	A000127	ALLEN J	Democrat	AL	-133.41558363999999	-658.58843713600004
3	B000063	BAKER H	Republican	TN	-81.502454939499998	-883.76552268100011
4	B000200	BARTLETT D	Republican	OK	-588.68875812500005	-858.49758385999996
5	B000254	BAYH B	Democrat	IN	127.604928872	790.8274540939999
6	B000272	BEALL G	Republican	MD	-536.9337395	1033.7223728500001
7	B000351	BELLMON H	Republican	OK	287.43635644900002	-811.89016245699997
8	B000384	BENNETT W	Republican	UT	-494.986967929	-725.01547935999997
9	B000401	BENTSEN L	Democrat	TX	109.603138969	-3.9052917749000002
10	B000436	BIBLE A	Democrat	NV	376.78474358400001	63.694630500699994
11	B000444	BIDEN J	Democrat	DE	-305.73399861500002	553.01147199299999
12	B000851	BROCK B	Republican	TN	539.06711476500004	-272.26442802099996
13	B000871	BROOKE E	Republican	MA	387.51137672300001	523.92515927599993
14	B001026	BUCKLEY J	Conservative	NY	-342.07537853500003	-987.45709354100006
15	B001077	BURDICK Q	Democrat	ND	546.79739539399998	-822.36777557300002
16	B001209	BYRD H	Independent	VA	48.550460661999999	-825.26743819000001
17	B001210	BYRD R	Democrat	WV	-503.46220614399999	796.93745028800004
18	C000120	CANNON H	Democrat	NV	232.43043628000001	82.054489188900007
19	C000220	CASE C	Republican	NJ	284.176257319	673.60165076800001
20	C000356	CHILES L	Democrat	FL	283.81060173399999	-41.000873981300003
21	C000388	CHURCH F	Democrat	ID	-170.22884295599999	589.95881989700001
22	C000448	CLARK D	Democrat	IA	360.67996548500003	1082.5880579899999
23	C000721	COOK M	Republican	KY	136.70882087299998	-395.35282372199998
24	C000802	COTTON N	Republican	NH	-553.94400821800002	-1169.5855108600001
25	C000877	CRANSTON A	Democrat	CA	114.329216581	1019.4918072
26	C001006	CURTIS C	Republican	NE	-929.9572927910001	386.53983272400001
27	D000401	DOLE R	Republican	KS	-273.50736645000001	-693.41924582000001
28	D000407	DOMENICI P	Republican	NM	140.99665947	-686.64195209399998
29	D000409	DOMINICK P	Republican	CO	-40.843513307899997	-1030.5500002199999
30	E000004	EAGLETON T	Democrat	MO	-5.2710465498300003	751.29177961399989
31	E000018	EASTLAND J	Democrat	MS	-26.2851050411	-720.80414203600003
32	E000211	ERVIN S	Democrat	NC	-88.857703063999992	-536.78170962599995
33	F000013	FANNIN P	Republican	AZ	-630.26074370900005	-1020.77694096
34	F000245	FONG H	Republican	HI	209.47351516000001	-566.92358985400006
35	F000401	FULBRIGHT J	Democrat	AR	-703.35170163899988	-133.94211086200002
36	G000267	GOLDWATER B	Republican	AZ	-112.55354807000001	-1212.8383294600001
37	G000388	GRAVEL M	Democrat	AK	369.80454920199998	292.74477096300001
38	G000465	GRIFFIN R	Republican	MI	-160.62201996299999	-983.80960374899996
39	G000531	GURNEY E	Republican	FL	-248.68190432	-881.67207543100005
40	H000170	HANSEN C	Republican	WY	-260.17417481000001	-1230.9039067799999
41	H000291	HART P	Democrat	MI	394.79432143400004	1215.8330796400001
42	H000297	HARTKE V	Democrat	IN	-228.731993969	438.03676950900001
43	H000317	HASKELL F	Democrat	CO	-70.183964375100004	861.69646688300008
