	id	name	party	state	x	y
0	A000062	AIKEN	Republican	VT	-64.129660928700005	-633.95523399399997
1	A000161	ALLOTT	Republican	CO	-14.1867726124	541.97268400600001
2	A000186	ANDERSON	Democrat	NM	132.68084011299999	-29.351515885900003
3	B000201	BARTLETT	Democrat	AK	-60.993435400500005	-271.507933482
4	B000223	BASS	Democrat	TN	-38.5561612272	-112.82649291200001
5	B000254	BAYH	Democrat	IN	187.654244678	-163.66251069899999
6	B000384	BENNETT	Republican	UT	-22.548373317100001	787.26636620300008
7	B000436	BIBLE	Democrat	NV	49.8100168518	133.63191828700002
8	B000593	BOGGS	Republican	DE	-104.95551930299999	-696.63418765100005
9	B000813	BREWSTER	Democrat	MD	202.93229521700002	-94.267212538199999
10	B001077	BURDICK	Democrat	ND	38.806985058899997	-224.031095236
11	B001208	BYRD, H.	Democrat	VA	-99.477291923899998	360.59018823699995
12	B001209	BYRD	Democrat	VA	-402.05441456800003	696.11593037600005
13	B001210	BYRD, R.	Democrat	WV	79.436646623999991	-516.62951097999996
14	C000120	CANNON	Democrat	NV	93.621195118399996	79.431383502100005
15	C000154	CARLSON	Republican	KS	-32.025206079999997	463.43610884399999
16	C000220	CASE	Republican	NJ	56.773710773799998	-61.397848816499994
17	C000388	CHURCH	Democrat	ID	-123.23272389100001	-336.36642993800001
18	C000444	CLARK	Democrat	PA	466.83782960900004	-39.480883881700002
19	C000758	COOPER	Republican	KY	-177.71137731599998	-532.27527488600003
20	C000802	COTTON	Republican	NH	37.493987346300003	727.97649833200001
21	C001006	CURTIS	Republican	NE	-106.05034537899999	758.63605844899996
22	D000360	DIRKSEN	Republican	IL	56.1773129129	565.93511824300003
23	D000390	DODD	Democrat	CT	-118.79490434500001	-104.79745286799999
24	D000409	DOMINICK	Republican	CO	-86.4320764956	605.193817352
25	D000456	DOUGLAS	Democrat	IL	19.9218034481	-382.176354215
26	E000018	EASTLAND	Democrat	MS	-245.036501044	552.24166002699997
27	E000112	ELLENDER	Democrat	LA	-344.14386513900001	376.13485254800003
28	E000211	ERVIN	Democrat	NC	-294.741523551	447.56205637400001
29	F000013	FANNIN	Republican	AZ	-154.99870074500001	633.67617641100003
30	F000245	FONG	Republican	HI	-143.79419886100001	-636.20302939400005
31	F000401	FULBRIGHT	Democrat	AR	-196.104775399	1.2903119514499999
32	G000320	GORE	Democrat	TN	421.23580354699999	-432.59225958400003
33	G000465	GRIFFIN	Republican	MI	-314.11556585900001	-1523.3556755300001
34	G000508	GRUENING	Democrat	AK	-239.16187248900002	-236.01486952400001
35	H000237	HARRIS	Democrat	OK	237.09071070299998	117.67581665899999
36	H000291	HART	Democrat	MI	240.82988228900001	-274.01304282000001
37	H000297	HARTKE	Democrat	IN	-118.29171173700001	-184.18140197400001
38	H000385	HAYDEN	Democrat	AZ	-250.65384041199999	-53.878053146699997
39	H000559	HICKENLOOPE	Republican	IA	-149.30905262900001	707.58962216300006
40	H000598	HILL	Democrat	AL	-240.78830520599999	287.42731718200002
41	H000720	HOLLAND	Democrat	FL	-273.83261721299999	360.30093460000006
42	H000875	HRUSKA	Republican	NE	-213.533860309	666.58768173300007
43	I000025	INOUYE	Democrat	HI	377.27330373000001	-165.21577513299999
44	J000013	JACKSON	Democrat	WA	444.21404992499998	-191.98566758699999
45	J000064	JAVITS	Republican	NY	516.32578331299999	-137.33678517499999
46	J000195	JOHNSTON	Democrat	SC	-518.09119661599993	304.54942059299998
47	J000267	JORDAN, B.	Democrat	NC	-367.048887106	446.77316791499999
48	J000269	JORDAN, L.	Republican	ID	-90.708498104200004	676.767293333
49	K000105	KENNEDY, E.	Democrat	MA	242.112113593	-208.50120185099999
50	K000114	KENNEDY, R.	Democrat	NY	173.36325561099997	-391.84686082900004
51	K000335	KUCHEL	Republican	CA	-101.228296634	-574.50204890600003
52	L000122	LAUSCHE	Democrat	OH	-272.949794548	825.292971975
53	L000415	LONG, E.	Democrat	MO	277.69535471699999	1.50922450349
54	L000428	LONG, R.	Democrat	LA	144.94755048499999	143.89870296500001
55	M000053	MAGNUSON	Democrat	WA	280.976183784	-68.875365016000003
56	M000113	MANSFIELD	Democrat	MT	353.17398036999998	-16.856132241499999
57	M000311	MCCARTHY	Democrat	MN	48.536132269700005	-151.507930757
58	M000332	MCCLELLAN	Democrat	AR	-306.81802137699998	517.65552226900002
59	M000445	MCGEE	Democrat	WY	119.24319262	-124.050514596
