	id	name	party	state	x	y
0	A000014	Abercrombie	D	HI	-19.9620098539	-9.2367944526399999
1	A000022	Ackerman	D	NY	-15.852705612899999	-22.495956028000002
2	A000055	Aderholt	R	AL	8.4412381380699983	20.8987808336
3	A000210	Andrews	D	NJ	-15.307585147899999	-25.4416198192
4	A000358	Akin	R	MO	27.4460037652	23.354560383000003
5	A000361	Alexander	R	LA	12.0378148446	22.868987050500003
6	A000362	Altmire	D	PA	-3.3870432296499997	-0.231716246923
7	A000363	Arcuri	D	NY	-3.9298170937900001	-2.79455241967
8	A000364	Adler (NJ)	D	NJ	-3.3151573959500005	-0.90095439407999989
9	A000365	Austria	R	OH	19.3755028679	25.808416204099998
10	B000013	Bachus	R	AL	10.405125223999999	22.600772148499999
11	B000208	Bartlett	R	MD	18.6237929419	23.7734115696
12	B000213	Barton (TX)	R	TX	22.086466431599998	22.681673869800001
13	B000287	Becerra	D	CA	-22.294564396799998	-24.959840436799997
14	B000410	Berman	D	CA	-19.627707304400001	-25.218699089000001
15	B000420	Berry	D	AR	-7.584774853069999	-6.7609362849599997
16	B000461	Bilbray	R	CA	14.777064035499999	24.335786497600001
17	B000490	Bishop (GA)	D	GA	-7.5303333211999997	-18.247579307599999
18	B000574	Blumenauer	D	OR	-20.576546085	-19.524097730499999
19	B000575	Blunt	R	MO	17.504724700000001	23.026319555300002
20	B000589	Boehner	R	OH	30.8283219134	23.608890795500002
21	B000652	Boswell	D	IA	-6.3654432857399996	-17.371424500100002
22	B000657	Boucher	D	VA	-5.6470530740499996	-8.8290217894800005
23	B000716	Boyd	D	FL	-5.32880176818	-7.9599138047400002
24	B000755	Brady (TX)	R	TX	27.4543083792	24.261393663099998
25	B000911	Brown, Corrine	D	FL	-19.1822549987	-23.407205690799998
26	B001149	Burton (IN)	R	IN	30.8366379333	24.974222336100002
27	B001203	Buyer	R	IN	17.877165595600001	22.4345048486
28	B001227	Brady (PA)	D	PA	-16.613195998399998	-28.698545216100001
29	B001228	Bono Mack	R	CA	15.4115362853	23.7910428452
30	B001229	Baird	D	WA	-6.7167054731400002	-6.8697222732300007
31	B001230	Baldwin	D	WI	-23.008118290799999	-23.1858739945
