	id	name	party	state	x	y
0	A000009	ABDNOR	Republican	SD	-14.091556738	30.0169415937
1	A000031	ADAMS	Democrat	WA	-8.2350650647499997	-18.789742369500001
2	A000052	ADDABBO	Democrat	NY	18.196508408	-27.576388102600003
3	A000069	AKAKA	Democrat	HI	10.279201107800001	-25.690103755700001
4	A000103	ALEXANDER	Democrat	AR	0.260677157105	-9.6466200542699987
5	A000118	ALLEN	Democrat	TN	2.74194554326	-2.7425250048700001
6	A000170	AMBRO	Democrat	NY	5.3932074861999997	-10.1184695024
7	A000177	AMMERMAN	Democrat	PA	15.407061345000001	-14.470930452999999
8	A000189	ANDERSON  G	Democrat	CA	4.7217134683399999	-11.6360407306
9	A000195	ANDERSON  J	Republican	IL	-3.3139470097000001	7.4012128699000002
10	A000207	ANDREWS  I	Democrat	NC	-11.278375456199999	1.5039670113100001
11	A000208	ANDREWS  M	Republican	ND	-12.8085493126	17.522845916400001
12	A000212	ANNUNZIO	Democrat	IL	3.6936109653800004	-22.608179489699999
13	A000214	APPLEGATE	Democrat	OH	-4.3129234182300005	-5.3338797480500002
14	A000215	ARCHER	Republican	TX	-19.459346761799999	36.860797629000004
15	A000219	ARMSTRONG	Republican	CO	-23.149211671	33.174828908400002
16	A000221	ASHBROOK	Republican	OH	-21.7894840212	35.396460687699999
17	A000222	ASHLEY	Democrat	OH	13.137496184300002	-22.671005977800004
18	A000224	ASPIN	Democrat	WI	20.0309312686	-24.052731260599998
19	A000337	AUCOIN	Democrat	OR	7.5390254818399987	-8.6623837513200002
20	B000024	BADHAM	Republican	CA	-20.058872319200002	36.234907745199997
21	B000025	BADILLO	Democrat	NY	7.1801303514599999	1.69985709442
22	B000029	BAFALIS	Republican	FL	-19.334313623	31.081665510000001
23	B000083	BALDUS	Democrat	WI	16.517174073699998	-24.380445859699996
24	B000153	BARNARD	Democrat	GA	-13.375472308599999	6.9225677457100012
25	B000243	BAUCUS	Democrat	MT	5.9616509244700007	-13.0932781773
26	B000244	BAUMAN	Republican	MD	-20.379367805899999	35.256137972700003
27	B000279	BEARD	Democrat	RI	7.8338418900100004	-21.1837874462
28	B000280	BEARD	Republican	TN	-14.213909746800001	31.050167396199999
29	B000298	BEDELL	Democrat	IA	15.031576935	-11.316567644100001
30	B000318	BEILENSON	Democrat	CA	29.319128712600001	-22.745177509200001
31	B000363	BENJAMIN	Democrat	IN	5.4680924073800004	-10.9900673218
32	B000371	BENNETT	Democrat	FL	-12.019242055399999	8.7319600510100006
33	B000408	BERGLAND	Democrat	MN	-8.2355286122300004	-18.791461956599999
34	B000431	BEVILL	Democrat	AL	-15.322163654400001	3.6460183181999999
35	B000432	BIAGGI	Democrat	NY	9.1021517319600012	-15.7174329783
36	B000472	BINGHAM	Democrat	NY	25.8978979002	-27.720368594
37	B000538	BLANCHARD	Democrat	MI	18.3342890652	-23.911334991700002
38	B000567	BLOUIN	Democrat	IA	17.360871299100001	-19.336274575200001
39	B000592	BOGGS	Democrat	LA	-0.65638458745600003	-11.623696333699998
40	B000600	BOLAND	Democrat	MA	8.3985522431300002	-22.510333627800001
41	B000605	BOLLING	Democrat	MO	15.3379154699	-23.068519175599999
42	B000619	BONIOR	Democrat	MI	25.833515159499999	-22.847108218699997
43	B000620	BONKER	Democrat	WA	13.866107320999999	-21.4514018938
44	B000682	BOWEN	Democrat	MS	-16.556658581300002	7.931970345339999
45	B000736	BRADEMAS	Democrat	IN	18.980929033399999	-28.544492226399999
46	B000780	BREAUX	Democrat	LA	-15.8029739516	13.803338334600001
47	B000788	BRECKINRIDG	Democrat	KY	-0.53522309275000002	-6.3130342277499993
48	B000839	BRINKLEY	Democrat	GA	-14.4282113355	7.2717088008999999
49	B000862	BRODHEAD	Democrat	MI	26.250779846700002	-25.7789182038
50	B000880	BROOKS	Democrat	TX	-4.0583195770599998	-6.8911136397800004
51	B000890	BROOMFIELD	Republican	MI	-9.6992047155600005	22.519064742199998
52	B000910	BROWN  C	Republican	OH	-15.9362490855	28.280123760100004
53	B000917	BROWN  GA	Republican	MI	-7.1385722678599999	17.5792062668
54	B000918	BROWN  GEO	Democrat	CA	29.9734302908	-27.236638594400002
55	B000966	BROYHILL	Republican	NC	-15.9670482778	26.558307753899999
56	B001008	BUCHANAN	Republican	AL	-6.2063636850500004	9.0107556087899994
57	B001080	BURGENER	Republican	CA	-13.871522168299999	28.5931750544
58	B001091	BURKE  J H	Republican	FL	-13.334908967400001	26.284724324099997
59	B001092	BURKE  J A	Democrat	MA	6.3127516550199996	-20.054930389300001
60	B001102	BURKE  Y	Democrat	CA	31.619873869999999	-24.359783826300003
61	B001111	BURLESON	Democrat	TX	-20.113514433100001	23.144685601700001
62	B001113	BURLISON	Democrat	MO	4.0966769122700004	-20.659233067100001
63	B001153	BURTON  J	Democrat	CA	30.422861163899999	-20.596902942899998
64	B001156	BURTON  P	Democrat	CA	28.893642400800001	-25.485381495799999
65	B001182	BUTLER	Republican	VA	-16.922890919699999	27.185132107099999
66	B001221	BYRON	Democrat	MD	-14.4646733718	7.8038449635699996
67	C000137	CAPUTO	Republican	NY	-3.3107203649999999	9.0455036695600004
68	C000164	CARNEY	Democrat	OH	6.3122007620199998	-21.314010091700002
69	C000178	CARR	Democrat	MI	25.945869747199996	-20.5034430149
70	C000201	CARTER	Republican	KY	-11.786833346500002	14.356719073399999
71	C000261	CAVANAUGH	Democrat	NE	7.0461828068699992	-11.158044196099999
72	C000263	CEDERBERG	Republican	MI	-11.205561548499999	18.586284312499998
73	C000321	CHAPPELL	Democrat	FL	-16.695292667499999	11.838964833099999
74	C000371	CHISHOLM	Democrat	NY	26.739029750700002	-28.3629129712
75	C000475	CLAUSEN	Republican	CA	-12.731541504100001	26.542941437300001
76	C000476	CLAWSON	Republican	CA	-22.962290184099999	34.732810962800002
77	C000488	CLAY	Democrat	MO	28.4382921457	-27.554962762600002
78	C000512	CLEVELAND	Republican	NH	-8.7845545332399997	23.177561525599998
79	C000567	COCHRAN	Republican	MS	-21.058362332000002	28.1741851321
80	C000598	COHEN	Republican	ME	-4.26253434864	9.6150688626700003
81	C000618	COLEMAN	Republican	MO	-13.529085119600001	24.975556369899998
82	C000634	COLLINS  C	Democrat	IL	29.858480377500001	-27.764028913800001
83	C000638	COLLINS  J	Republican	TX	-23.762176575300003	35.588011997399995
84	C000666	CONABLE	Republican	NY	-5.9673630232899999	17.8005286659
85	C000709	CONTE	Republican	MA	8.2098827319699996	-10.5205517329
86	C000714	CONYERS	Democrat	MI	31.0293803213	-20.801082066399999
87	C000773	CORCORAN	Republican	IL	-12.470071473199999	25.501694756799999
88	C000780	CORMAN	Democrat	CA	16.171510068900002	-27.523795283400002
